Key,English,Spanish,Portuguese
Play,Play,Jugar,Jogar
Exit,Exit,Salir,Saída
Pause,Pause,Pausa,Pausa
Credits,Credits,Créditos ,Créditos 
Settings,Settings,Ajustes,Configurações
Music,Music,Música ,Música 
SFX,SFX,Efectos de sonido,Efeitos sonoros
Resolution,Resolution,Resolución ,Resoluções
Restart,Restart,Reiniciar,Reiniciar
English,English,English,English
Spanish,Español,Español,Español
Portuguese,Português,Português,Português
Rush all you want... the outcome remains unchanged.,Rush all you want... the outcome remains unchanged.,"Por mucha prisa que tengas, el resultado será el mismo.",Corra o quanto quiser... o resultado permanece o mesmo.
One step at a time...,One step at a time...,Un paso a la vez...,Um passo de cada vez...
Or is it that you fell?,Or is it that you fell?,o ¿es que te caíste?,Ou será que você caiu?
"Hate to say it, really… but watch your step.","Hate to say it, really… but watch your step.","De verdad que no quiero decirte esto,","Odeio dizer isso, sinceramente... mas cuidado com o que faz."
Would be a shame if you fell.,Would be a shame if you fell.,pero cuidado con la caída,Seria uma pena se você caísse.
"Don't worry, this sand trap was made just for people like you","Don't worry, this sand trap was made just for people like you","Tranquilo, coloqué esta trampa de arena para gente como tú","Não se preocupe, esta armadilha de areia foi feita especialmente para pessoas como você"
HAHAHAHAHAHAHAHAHA,HAHAHAHAHAHAHAHAHA,JAJAJAJAJAJAJAJAJA,HAHAHAHAHAHAHAHAHA
"Easy there, brain! We're on sand, not at home doing… that.","Easy there, brain! We're on sand, not at home doing… that.","¡Atrás, pensamientos intrusivos, atrás!","Calma aí, cérebro! Estamos na areia, não em casa fazendo... isso."
He...,He...,Ho...,Ol...
Stupid... stupid... stupid! I should’ve beaten him! Damn it all!,Stupid... stupid... stupid! I should’ve beaten him! Damn it all!,¡Estúpido... estúpido... estúpido! ¡Tendría que haberlo derrotado! ¡Maldita sea!,Idiota... idiota... idiota! Eu devia ter batido nele! Droga!
Are you okay?,Are you okay?,¿Te encuentras bien?,Você está bem?
What do you think? Do I look okay to you?,What do you think? Do I look okay to you?,¿Tú qué crees? ¿Te parece que estoy bien?,O que você acha? Eu pareço bem para você?
...,...,...,...
"Sorry... It’s this place. Every time I come back here, I lose it. It’s like everything I felt that day is still waiting for me.","Sorry... It’s this place. Every time I come back here, I lose it. It’s like everything I felt that day is still waiting for me.",Perdón... Es este lugar. Siempre que vuelvo aquí... pierdo el control. Es como si todo lo que sentí ese día aún estuviera esperándome.,"Desculpe... É este lugar. Toda vez que volto aqui, me perco. É como se tudo o que senti naquele dia ainda estivesse esperando por mim."
You’ve been here before?,You’ve been here before?,¿Volver?,Você já esteve aqui antes?
Wait... if you’re here... that means you challenged him too.,Wait... if you’re here... that means you challenged him too.,Espera... si tú estás aquí... eso significa que también lo desafiaste.,Espere... se você está aqui... isso significa que você o desafiou também.
"Kid... I respect your courage, but don’t make the same mistake I did. Don’t end up like me...","Kid... I respect your courage, but don’t make the same mistake I did. Don’t end up like me...","Chico... admiro tu valentía, pero no cometas mi error. No termines como yo...","Garoto... Eu respeito sua coragem, mas não cometa o mesmo erro que eu. Não acabe como eu..."
Sometimes... giving up is the only way to walk away without dragging your regrets behind you,Sometimes... giving up is the only way to walk away without dragging your regrets behind you,"Te recomiendo aceptar tu destino. A veces, rendirse es la única forma de irse sin arrastrar remordimientos",Às vezes... desistir é a única maneira de ir embora sem arrastar arrependimentos atrás de você
I can’t do that. This is the most important moment in my owner’s life. He needs me. I’m not leaving him—not now,I can’t do that. This is the most important moment in my owner’s life. He needs me. I’m not leaving him—not now,No puedo. Es el momento más importante en la vida de mi dueño. Me necesita. No puedo abandonarlo ahora... no cuando más importa.,Não posso fazer isso. Este é o momento mais importante na vida do meu dono. Ele precisa de mim. Não vou deixá-lo — não agora.
"You need to face reality, kid. It’s a lost cause. This is his ring, his rules. Guts won’t get you through this. Don’t pick a fight you can’t win","You need to face reality, kid. It’s a lost cause. This is his ring, his rules. Guts won’t get you through this. Don’t pick a fight you can’t win","Entiende tu situación chico, es una causa perdida. Este lugar es su ring, sus reglas. Aquí no ganas con agallas. No elijas combates que no puedas ganar","Você precisa encarar a realidade, garoto. É uma causa perdida. Este é o ringue dele, as regras dele. Coragem não vai te ajudar a superar isso. Não compre uma briga que você não pode vencer."
"You, of all people—a boxer—should know: a fight isn’t over until the bell rings","You, of all people—a boxer—should know: a fight isn’t over until the bell rings","Tú, siendo boxeador, sabes que el combate no termina hasta que la campana suene","Você, de todas as pessoas - um boxeador - deveria saber: uma luta não termina até que o gongo toque"
"...I hate to admit it, but that bell rang for me a long time ago","...I hate to admit it, but that bell rang for me a long time ago","...Odio admitirlo, pero esa campana sonó hace mucho para mí.","...Odeio admitir, mas esse sinal tocou para mim há muito tempo."
Maybe it is a lost cause... but I’m not giving up. Not when he still believes in me.,Maybe it is a lost cause... but I’m not giving up. Not when he still believes in me.,Tal vez sí sea una causa perdida… pero no puedo darme por vencido ahora. No cuando él cree en mí,Talvez seja uma causa perdida... mas não vou desistir. Não enquanto ele ainda acredita em mim.
"Look... I shouldn’t ask you this, but I can’t stand by and let that bastard take down someone else","Look... I shouldn’t ask you this, but I can’t stand by and let that bastard take down someone else","Escucha, no debería pedirte esto, pero no puedo quedarme quieto mientras ese bastardo cobra otra víctima.","Olha... Eu não deveria te perguntar isso, mas não posso ficar parado e deixar esse bastardo derrubar outra pessoa."
"Digging up the past again, Kira? Come back now, or crawl away like you did last time","Digging up the past again, Kira? Come back now, or crawl away like you did last time","¿Otra vez desenterrando el pasado, Kira? Vuelve ahora, o tendrás que arrastrarte como la última vez.","Desenterrando o passado de novo, Kira? Volte agora ou rasteje para longe como fez da última vez."
"Take my rage, kid. Use it to break through that wall of ice... and end the God of the Limbo… for those of us who couldn’t.","Take my rage, kid. Use it to break through that wall of ice... and end the God of the Limbo… for those of us who couldn’t.","Usa mi rabia, chico... rompe ese muro de hielo... y acaba con el Dios del Limbo...","Aceite minha fúria, garoto. Use-a para romper essa parede de gelo... e acabar com o Deus do Limbo... para aqueles de nós que não conseguiram."
"Carry me with you, even if it's just as fury. Do what I couldn’t","Carry me with you, even if it's just as fury. Do what I couldn’t","Llévame contigo, chico… aunque sea en tu rabia. Haz lo que yo no pude.","Leve-me com você, mesmo que seja com a mesma fúria. Faça o que eu não pude"
Load Game,Load Game,Cargar Juego,Carregar jogo
Language,Language,Idioma,Linguagem
Full Screen,Full Screen,Pantalla Completa,Tela cheia
Back,Back,Volver,Voltar
Hold on a second! I like to be a good host to my guests. Let me show you how to move around these lands.  ,Hold on a second! I like to be a good host to my guests. Let me show you how to move around these lands.  ,¡Espera un segundo! Me gusta ser un buen anfitrión con mis invitados. Te enseñaré cómo moverte por estas tierras.,Espere um segundo! Gosto de ser um bom anfitrião para meus convidados. Deixe-me mostrar como se locomover por estas terras.
"I took the liberty of placing the controls at the bottom of the screen… you know, just in case your tiny attention span can’t handle more.","I took the liberty of placing the controls at the bottom of the screen… you know, just in case your tiny attention span can’t handle more.","Me tomé la molestia de poner los controles en la parte inferior… ya sabes, por si tu diminuta capacidad de atención no da para más.","Tomei a liberdade de colocar os controles na parte inferior da tela... sabe, só para o caso de sua pequena capacidade de atenção não aguentar mais."
"And when you finally decide to shoot, a bar will appear next to you to choose the force. Yes, I set that up for you too. Amazing, isn’t it?","And when you finally decide to shoot, a bar will appear next to you to choose the force. Yes, I set that up for you too. Amazing, isn’t it?","Y cuando por fin decidas disparar, aparecerá una barra junto a ti para elegir la fuerza del tiro. Sí, también hice eso por ti. Increíble, ¿no?","E quando você finalmente decidir atirar, uma barra aparecerá ao seu lado para escolher a força. Sim, eu configurei isso para você também. Incrível, não é?"
"In the lower right corner, oh mighty chosen one, you’ll see how to aim and shoot… though I highly doubt you’ll master it on your first try.","In the lower right corner, oh mighty chosen one, you’ll see how to aim and shoot… though I highly doubt you’ll master it on your first try.","En la esquina inferior derecha, oh gran elegido, podrás ver cómo apuntar y disparar… aunque dudo que logres dominarlo a la primera","No canto inferior direito, ó poderoso escolhido, você verá como mirar e atirar... embora eu duvide muito que você domine isso na primeira tentativa."
"That's it, useless cat. From here on out, whether you make it back alive or not is up to you. Bye.","That's it, useless cat. From here on out, whether you make it back alive or not is up to you. Bye.","Listo, gato inútil. Después de esto, depende de ti si regresas con vida o no. Chau","É isso, gato inútil. De agora em diante, se você vai voltar vivo ou não, depende de você. Tchau."
"Ah, I almost forgot… in the lower left corner, you’ll behold the world I’ve built for you. Or in case your tiny brain forgot where you are.","Ah, I almost forgot… in the lower left corner, you’ll behold the world I’ve built for you. Or in case your tiny brain forgot where you are.","Ah, casi lo olvido… en la esquina inferior izquierda podrás contemplar el entorno que he construido para ti. O, en caso de que tu diminuto cerebro haya olvidado dónde estás.","Ah, quase me esquecia... no canto inferior esquerdo, você verá o mundo que construí para você. Ou caso seu pequeno cérebro tenha esquecido onde você está."
"Hey, hold it! Take a moment to admire the scenery I *so kindly* built for you, you ungrateful furball. I’ve got three simple concepts to explain. ","Hey, hold it! Take a moment to admire the scenery I *so kindly* built for you, you ungrateful furball. I’ve got three simple concepts to explain. ","¡Eh, quieto! Tómate tu tiempo para ver el paisaje que te construí, malagradecido. Tengo que explicarte tres sencillos conceptos.","Ei, calma aí! Pare um momento para admirar a paisagem que eu *tão gentilmente* construí para você, sua bola de pelos ingrata. Tenho três conceitos simples para explicar."
"First, something I really shouldn’t have to say — but there’s always someone, right? Just ask the people who read shampoo labels.","First, something I really shouldn’t have to say — but there’s always someone, right? Just ask the people who read shampoo labels.","Primero, algo que no debería decirte, pero siempre hay gente para todo (pregúntales a los que leen la etiqueta del champú).","Primeiro, algo que eu realmente não deveria ter que dizer — mas sempre tem alguém, né? Pergunte para quem lê rótulos de xampu."
"Your main goal is to get the ball into the hole up there. Shocking, I know — it’s golf.","Your main goal is to get the ball into the hole up there. Shocking, I know — it’s golf.",Tu principal objetivo es meter la bola en el hoyo de arriba. Por algo estamos jugando golf.,"Seu objetivo principal é colocar a bola no buraco lá em cima. Chocante, eu sei — é golfe."
"Second, see that cute little pond next to you? Avoid it at all costs. Though, being a cat, I’d assume that’s obvious. ","Second, see that cute little pond next to you? Avoid it at all costs. Though, being a cat, I’d assume that’s obvious. ","Segundo, ¿ves ese pequeño lago a tu lado? Evítalo a toda costa. Aunque, siendo un gato, supongo que eso es lógico.","Segundo, vê aquele laguinho bonitinho aqui perto? Evite-o a todo custo. Mas, sendo um gato, eu presumo que isso seja óbvio."
"Third, that giant purple platform in front of you? It’s a slime. Yep, you bounce. Use it to reach places that are normally *way* out of your league.","Third, that giant purple platform in front of you? It’s a slime. Yep, you bounce. Use it to reach places that are normally *way* out of your league.","Tercero, la plataforma gigante morada que está enfrente es un slime. Ya sabes, rebotas. Úsala para alcanzar lugares normalmente inalcanzables para ti.","Terceiro, aquela plataforma roxa gigante na sua frente? É uma gosma. É, você quica. Use-a para alcançar lugares que normalmente estão *muito* fora do seu alcance."
I’ve wasted enough of my precious time on you. I’m out (again).,I’ve wasted enough of my precious time on you. I’m out (again).,He perdido demasiado tiempo contigo. Me largo (otra vez).,Já perdi tempo precioso demais com você. Estou fora (de novo).
"Well, congratulations — you’ve made history: a cat who willingly dove into water.","Well, congratulations — you’ve made history: a cat who willingly dove into water.",En fin… otro récord roto: el gato que olvidó que odiaba el agua.,"Bem, parabéns — você fez história: um gato que mergulhou na água por vontade própria."
"Wow, precision at its finest.","Wow, precision at its finest","Vaya, precisión absoluta.","Uau, precisão no seu melhor"
Even the tester couldn’t overshoot it that badly.,Even the tester couldn’t overshoot it that badly,Ni el tester logró pasarse tan mal.,Nem mesmo o testador conseguiu ultrapassar isso tão mal
I have to stay calm… provoking him won’t help me now.,I have to stay calm… provoking him won’t help me now.,Debo mantener la calma… no me conviene hacerlo enojar.,Tenho que manter a calma... provocá-lo não vai me ajudar agora.
New Game,New Game,Nuevo juego,Novo jogo
Continue,Continue,Continuar,Continuar
Thank you Kira...,Thank you Kira...,Gracias Kira...,"Obrigada, Kira..."
B-b-brrr… I c-can’t f-feel my paws…,B-b-brrr… I c-can’t f-feel my paws…,B-b-brrr… N-no s-siento mis p-patas…,B-b-brrr… Eu n-não consigo sentir minhas patas…
B-b-brrr,B-b-brrr,B-b-brrr,B-b-brrr
The Moon...,The Moon...,La Luna...,A Lua...
It reminds me of that trip.,It reminds me of that trip.,Me recuerda aquel viaje.,Isso me faz lembrar daquela viagem.
I need to hurry… I have to get back to him.,I need to hurry… I have to get back to him.,Tengo que darme prisa… debo volver con él.,Preciso me apressar… Tenho que voltar para ele.
Orange Cat,Orange Cat,Gato Naranja,Gato Laranja
Chartreux Cat,Chartreux cat,Gato Chatreux,Gato Chartreux
The Limbo's God,The Limbo's God,El Dios del Limbo,O Deus do Limbo
Resume,Resume,Resumir,Retomar
Paused,Paused,En pausa,Em pausa
Let's play some golf!,Let's play some golf!,¡Vamos a jugar golf!,Vamos jogar golfe!
Current Level:,Current Level:,Nivel actual:,Nível atual:
Delete,Delete,Borrar,Excluir
Hits:,Hits:,Golpes:,Acessos:
Programming,Programming,Progamación,Programação
Game design,Game design,Diseño de juego,Design de jogos
Art,Art,Arte,Arte
Animation,Animation,Animación,Animação
UI/UX Design,UI/UX Design,Diseño UI/UX,Design de UI/UX
Music composer,Music composer,Compositor musical,Compositor musical
Special thanks,Special thanks,Agradecimientos especiales,Agradecimentos especiais
Thanks for playing!,Thanks for playing!,Gracias por jugar!,Obrigado por jogar!
I need to end this… and fast.,I need to end this… and fast.,Necesito terminar esto... Y rápido,Preciso acabar com isso… e rápido.
He’s counting on me.,He’s counting on me.,Él cuenta conmigo.,Ele está contando comigo.
